State/Area,Year,Month,Total Civilian Labor Force in State/Area,Percent (%) of State/Area's Population,Total Employment in State/Area,Percent (%) of Labor Force Employed in State/Area,Total Unemployment in State/Area,Percent (%) of Labor Force Unemployed in State/Area
Alabama,1976,1,1484555,57.0,1386023,53.2,98532,6.6
Alaska,1976,1,160183,69.0,148820,64.1,11363,7.1
Arizona,1976,1,964120,59.5,865871,53.4,98249,10.2
Arkansas,1976,1,889044,57.9,824395,53.7,64649,7.3
California,1976,1,9774280,62.6,8875685,56.8,898595,9.2
Los Angeles County,1976,1,3381856,64.1,3081806,58.4,300050,8.9
Colorado,1976,1,1230966,67.2,1160104,63.3,70862,5.8
Connecticut,1976,1,1442847,64.2,1301974,57.9,140873,9.8
Delaware,1976,1,261418,62.7,240543,57.7,20875,8.0
District of Columbia,1976,1,334691,64.4,305677,58.8,29014,8.7
Florida,1976,1,3584876,55.8,3238460,50.4,346416,9.7
Georgia,1976,1,2244770,63.7,2056467,58.4,188303,8.4
Hawaii,1976,1,407457,69.9,367586,63.1,39871,9.8
Idaho,1976,1,365606,63.0,345182,59.5,20424,5.6
Illinois,1976,1,5123609,63.0,4786415,58.9,337194,6.6
Indiana,1976,1,2425346,64.0,2265849,59.8,159497,6.6
Iowa,1976,1,1329798,64.4,1272281,61.6,57517,4.3
Kansas,1976,1,1065059,65.1,1020396,62.4,44663,4.2
Kentucky,1976,1,1486550,60.5,1402625,57.0,83925,5.6
Louisiana,1976,1,1517348,56.8,1421440,53.2,95908,6.3
Maine,1976,1,474371,62.1,433260,56.7,41111,8.7
Maryland,1976,1,1899337,64.3,1777055,60.2,122282,6.4
Massachusetts,1976,1,2717096,64.8,2432377,58.0,284719,10.5
Michigan,1976,1,3952851,61.6,3562759,55.5,390092,9.9
Minnesota,1976,1,1829382,65.6,1719817,61.7,109565,6.0
Mississippi,1976,1,963611,58.8,899280,54.8,64331,6.7
Missouri,1976,1,2094063,60.5,1969511,56.9,124552,5.9
Montana,1976,1,332790,62.7,313402,59.0,19388,5.8
Nebraska,1976,1,711096,64.9,687431,62.8,23665,3.3
Nevada,1976,1,321579,71.3,291933,64.7,29646,9.2
New Hampshire,1976,1,390934,65.9,365509,61.6,25425,6.5
New Jersey,1976,1,3294120,61.5,2954259,55.1,339861,10.3
New Mexico,1976,1,481330,60.8,439744,55.5,41586,8.6
New York,1976,1,7658970,58.0,6872159,52.1,786811,10.3
New York city,1976,1,3066605,53.9,2723016,47.8,343589,11.2
North Carolina,1976,1,2590713,66.5,2424106,62.2,166607,6.4
North Dakota,1976,1,276793,62.6,267268,60.5,9525,3.4
Ohio,1976,1,4754858,61.7,4368782,56.7,386076,8.1
Oklahoma,1976,1,1186198,59.3,1116824,55.9,69374,5.8
Oregon,1976,1,1078645,62.9,976450,56.9,102195,9.5
Pennsylvania,1976,1,5122733,58.4,4710510,53.7,412223,8.0
Rhode Island,1976,1,440979,63.8,406706,58.9,34273,7.8
South Carolina,1976,1,1295867,65.3,1200437,60.5,95430,7.4
South Dakota,1976,1,308031,64.6,297972,62.5,10059,3.3
Tennessee,1976,1,1834194,59.6,1723616,56.0,110578,6.0
Texas,1976,1,5623303,63.8,5294695,60.0,328608,5.8
Utah,1976,1,517325,62.8,487063,59.1,30262,5.8
Vermont,1976,1,215575,63.6,196968,58.1,18607,8.6
Virginia,1976,1,2330159,65.9,2187531,61.9,142628,6.1
Washington,1976,1,1583070,60.9,1448543,55.8,134527,8.5
West Virginia,1976,1,710144,52.5,657179,48.6,52965,7.5
Wisconsin,1976,1,2128893,65.6,2005997,61.8,122896,5.8
Wyoming,1976,1,176214,65.3,169014,62.6,7200,4.1
Alabama,1976,2,1483950,56.9,1385675,53.1,98275,6.6
Alaska,1976,2,160022,68.4,148718,63.6,11304,7.1
Arizona,1976,2,963394,59.2,865215,53.2,98179,10.2
Arkansas,1976,2,888771,57.8,824008,53.6,64763,7.3
California,1976,2,9768885,62.4,8871553,56.7,897332,9.2
Los Angeles County,1976,2,3381218,64.0,3081497,58.3,299721,8.9
Colorado,1976,2,1230680,67.0,1160001,63.1,70679,5.7
Connecticut,1976,2,1442118,64.1,1301107,57.8,141011,9.8
Delaware,1976,2,261325,62.5,240545,57.5,20780,8.0
District of Columbia,1976,2,334767,64.5,305759,58.9,29008,8.7
Florida,1976,2,3583970,55.7,3237372,50.3,346598,9.7
Georgia,1976,2,2243779,63.6,2055366,58.3,188413,8.4
Hawaii,1976,2,407385,69.6,367403,62.8,39982,9.8
Idaho,1976,2,365295,62.8,344916,59.3,20379,5.6
Illinois,1976,2,5122237,63.0,4785460,58.8,336777,6.6
Indiana,1976,2,2424387,63.9,2264552,59.7,159835,6.6
Iowa,1976,2,1329511,64.3,1271866,61.5,57645,4.3
Kansas,1976,2,1064471,65.0,1019842,62.3,44629,4.2
Kentucky,1976,2,1486110,60.3,1402206,56.9,83904,5.6
Louisiana,1976,2,1516595,56.6,1421064,53.1,95531,6.3
Maine,1976,2,474272,61.9,433173,56.6,41099,8.7
Maryland,1976,2,1898511,64.2,1776509,60.1,122002,6.4
Massachusetts,1976,2,2716261,64.7,2431016,57.9,285245,10.5
Michigan,1976,2,3951549,61.5,3560591,55.4,390958,9.9
Minnesota,1976,2,1828517,65.5,1719004,61.5,109513,6.0
Mississippi,1976,2,963333,58.6,899114,54.7,64219,6.7
Missouri,1976,2,2092849,60.3,1968522,56.7,124327,5.9
Montana,1976,2,332686,62.5,313365,58.9,19321,5.8
Nebraska,1976,2,710770,64.9,687121,62.7,23649,3.3
Nevada,1976,2,321323,70.8,291651,64.2,29672,9.2
New Hampshire,1976,2,390586,65.6,365177,61.4,25409,6.5
New Jersey,1976,2,3293155,61.4,2953668,55.1,339487,10.3
New Mexico,1976,2,481103,60.5,439486,55.3,41617,8.7
New York,1976,2,7656709,58.0,6871169,52.0,785540,10.3
New York city,1976,2,3065430,53.9,2722421,47.8,343009,11.2
North Carolina,1976,2,2589914,66.3,2422974,62.0,166940,6.4
North Dakota,1976,2,276615,62.4,267143,60.3,9472,3.4
Ohio,1976,2,4754964,61.7,4368157,56.7,386807,8.1
Oklahoma,1976,2,1185846,59.2,1116531,55.7,69315,5.8
Oregon,1976,2,1077762,62.7,975742,56.7,102020,9.5
Pennsylvania,1976,2,5122163,58.3,4709350,53.6,412813,8.1
Rhode Island,1976,2,440950,63.7,406719,58.8,34231,7.8
South Carolina,1976,2,1295652,65.2,1200235,60.4,95417,7.4
South Dakota,1976,2,307916,64.4,297878,62.3,10038,3.3
Tennessee,1976,2,1832969,59.4,1722558,55.9,110411,6.0
Texas,1976,2,5619825,63.5,5291252,59.8,328573,5.8
Utah,1976,2,516978,62.6,486695,58.9,30283,5.9
Vermont,1976,2,215467,63.4,196846,57.9,18621,8.6
Virginia,1976,2,2329603,65.8,2187080,61.7,142523,6.1
Washington,1976,2,1581641,60.7,1447552,55.6,134089,8.5
West Virginia,1976,2,710252,52.4,657268,48.5,52984,7.5
Wisconsin,1976,2,2128026,65.5,2005096,61.7,122930,5.8
Wyoming,1976,2,176014,64.9,168813,62.3,7201,4.1
Alabama,1976,3,1484241,56.8,1386793,53.0,97448,6.6
Alaska,1976,3,160124,67.8,148935,63.1,11189,7.0
Arizona,1976,3,963556,59.1,865905,53.1,97651,10.1
Arkansas,1976,3,888557,57.7,823855,53.5,64702,7.3
California,1976,3,9768531,62.2,8875700,56.6,892831,9.1
Los Angeles County,1976,3,3381679,63.9,3083346,58.3,298333,8.8
Colorado,1976,3,1229907,66.8,1159916,63.0,69991,5.7
Connecticut,1976,3,1442585,64.0,1301919,57.8,140666,9.8
Delaware,1976,3,261306,62.5,240523,57.5,20783,8.0
District of Columbia,1976,3,334769,64.5,305939,58.9,28830,8.6
Florida,1976,3,3583894,55.5,3238803,50.2,345091,9.6
Georgia,1976,3,2244320,63.5,2056476,58.2,187844,8.4
Hawaii,1976,3,407576,69.6,367608,62.7,39968,9.8
Idaho,1976,3,365320,62.7,344962,59.2,20358,5.6
Illinois,1976,3,5123914,62.9,4787596,58.8,336318,6.6
Indiana,1976,3,2424005,63.8,2265615,59.7,158390,6.5
Iowa,1976,3,1329559,64.2,1272124,61.4,57435,4.3
Kansas,1976,3,1064641,64.9,1020044,62.2,44597,4.2
Kentucky,1976,3,1486259,60.2,1402586,56.8,83673,5.6
Louisiana,1976,3,1516489,56.5,1420882,52.9,95607,6.3
Maine,1976,3,474440,61.9,433462,56.5,40978,8.6
Maryland,1976,3,1898022,64.1,1776482,60.0,121540,6.4
Massachusetts,1976,3,2715115,64.6,2430783,57.9,284332,10.5
Michigan,1976,3,3953694,61.5,3562811,55.4,390883,9.9
Minnesota,1976,3,1828605,65.4,1720108,61.5,108497,5.9
Mississippi,1976,3,963510,58.5,900093,54.7,63417,6.6
Missouri,1976,3,2093314,60.3,1969025,56.7,124289,5.9
Montana,1976,3,332560,62.4,313352,58.8,19208,5.8
Nebraska,1976,3,710627,64.8,687236,62.6,23391,3.3
Nevada,1976,3,321400,70.5,291820,64.0,29580,9.2
New Hampshire,1976,3,390816,65.6,365391,61.3,25425,6.5
New Jersey,1976,3,3294615,61.4,2955302,55.1,339313,10.3
New Mexico,1976,3,481308,60.3,439624,55.1,41684,8.7
New York,1976,3,7657019,58.0,6874360,52.1,782659,10.2
New York city,1976,3,3064867,53.9,2722931,47.9,341936,11.2
North Carolina,1976,3,2591051,66.2,2424774,62.0,166277,6.4
North Dakota,1976,3,276633,62.3,267177,60.2,9456,3.4
Ohio,1976,3,4755734,61.7,4369756,56.7,385978,8.1
Oklahoma,1976,3,1185640,59.1,1116631,55.6,69009,5.8
Oregon,1976,3,1076843,62.5,975675,56.6,101168,9.4
Pennsylvania,1976,3,5123224,58.3,4708719,53.6,414505,8.1
Rhode Island,1976,3,441054,63.6,406950,58.7,34104,7.7
South Carolina,1976,3,1295432,65.0,1200705,60.3,94727,7.3
South Dakota,1976,3,307864,64.4,297968,62.3,9896,3.2
Tennessee,1976,3,1832485,59.3,1722558,55.7,109927,6.0
Texas,1976,3,5623418,63.4,5293477,59.7,329941,5.9
Utah,1976,3,517186,62.5,486955,58.8,30231,5.8
Vermont,1976,3,215624,63.2,196979,57.8,18645,8.6
Virginia,1976,3,2329408,65.6,2187833,61.6,141575,6.1
Washington,1976,3,1581050,60.6,1447484,55.4,133566,8.4
West Virginia,1976,3,710795,52.3,657702,48.4,53093,7.5
Wisconsin,1976,3,2127839,65.4,2005801,61.7,122038,5.7
Wyoming,1976,3,176105,64.7,168932,62.1,7173,4.1
Alabama,1976,4,1487233,56.8,1390787,53.1,96446,6.5
Alaska,1976,4,161033,67.9,149867,63.2,11166,6.9
Arizona,1976,4,966567,59.1,870141,53.2,96426,10.0
Arkansas,1976,4,888945,57.7,825015,53.5,63930,7.2
California,1976,4,9789023,62.2,8902662,56.6,886361,9.1
Los Angeles County,1976,4,3385126,63.8,3089190,58.3,295936,8.7
Colorado,1976,4,1229301,66.6,1160052,62.8,69249,5.6
Connecticut,1976,4,1446319,64.1,1307272,58.0,139047,9.6
Delaware,1976,4,261570,62.4,240379,57.4,21191,8.1
District of Columbia,1976,4,334217,64.5,305824,59.0,28393,8.5
Florida,1976,4,3586526,55.5,3246473,50.2,340053,9.5
Georgia,1976,4,2249492,63.5,2063590,58.3,185902,8.3
Hawaii,1976,4,408192,69.4,368776,62.7,39416,9.7
Idaho,1976,4,366582,62.7,346124,59.2,20458,5.6
Illinois,1976,4,5131695,62.9,4795335,58.8,336360,6.6
Indiana,1976,4,2426376,63.8,2273481,59.8,152895,6.3
Iowa,1976,4,1330950,64.1,1274556,61.4,56394,4.2
Kansas,1976,4,1067139,65.0,1022562,62.3,44577,4.2
Kentucky,1976,4,1488051,60.1,1404930,56.8,83121,5.6
Louisiana,1976,4,1519054,56.4,1422019,52.8,97035,6.4
Maine,1976,4,475164,61.8,434471,56.5,40693,8.6
Maryland,1976,4,1900112,64.1,1778204,60.0,121908,6.4
Massachusetts,1976,4,2715481,64.6,2436049,57.9,279432,10.3
Michigan,1976,4,3963423,61.6,3576236,55.6,387187,9.8
Minnesota,1976,4,1832231,65.4,1726077,61.6,106154,5.8
Mississippi,1976,4,964902,58.5,903082,54.7,61820,6.4
Missouri,1976,4,2099444,60.4,1973947,56.8,125497,6.0
Montana,1976,4,332503,62.3,313343,58.7,19160,5.8
Nebraska,1976,4,711432,64.8,688636,62.7,22796,3.2
Nevada,1976,4,322625,70.4,293430,64.1,29195,9.0
New Hampshire,1976,4,392772,65.7,367257,61.4,25515,6.5
New Jersey,1976,4,3301383,61.5,2961197,55.1,340186,10.3
New Mexico,1976,4,482739,60.3,441037,55.1,41702,8.6
New York,1976,4,7664202,58.0,6884805,52.1,779397,10.2
New York city,1976,4,3067313,53.9,2726299,47.9,341014,11.1
North Carolina,1976,4,2595746,66.2,2432742,62.1,163004,6.3
North Dakota,1976,4,277360,62.5,267713,60.3,9647,3.5
Ohio,1976,4,4755492,61.6,4375662,56.7,379830,8.0
Oklahoma,1976,4,1186430,59.0,1118154,55.6,68276,5.8
Oregon,1976,4,1078204,62.4,978506,56.6,99698,9.2
Pennsylvania,1976,4,5126833,58.3,4710603,53.6,416230,8.1
Rhode Island,1976,4,441240,63.7,407314,58.8,33926,7.7
South Carolina,1976,4,1295324,64.9,1202589,60.2,92735,7.2
South Dakota,1976,4,308191,64.3,298513,62.3,9678,3.1
Tennessee,1976,4,1835764,59.3,1726382,55.7,109382,6.0
Texas,1976,4,5646313,63.5,5312877,59.7,333436,5.9
Utah,1976,4,519054,62.5,489107,58.9,29947,5.8
Vermont,1976,4,216413,63.5,197785,58.0,18628,8.6
Virginia,1976,4,2330733,65.5,2191295,61.6,139438,6.0
Washington,1976,4,1585515,60.6,1451387,55.5,134128,8.5
West Virginia,1976,4,711428,52.3,658257,48.4,53171,7.5
Wisconsin,1976,4,2130436,65.4,2011006,61.8,119430,5.6
Wyoming,1976,4,177119,64.9,170037,62.3,7082,4.0
Alabama,1976,5,1491392,56.8,1395320,53.1,96072,6.4
Alaska,1976,5,162338,67.9,151056,63.2,11282,6.9
Arizona,1976,5,971080,59.1,875687,53.3,95393,9.8
Arkansas,1976,5,889913,57.7,827062,53.6,62851,7.1
California,1976,5,9821255,62.3,8938559,56.7,882696,9.0
Los Angeles County,1976,5,3389808,63.8,3095552,58.3,294256,8.7
Colorado,1976,5,1229470,66.5,1160471,62.7,68999,5.6
Connecticut,1976,5,1451616,64.3,1314537,58.2,137079,9.4
Delaware,1976,5,262016,62.4,240214,57.2,21802,8.3
District of Columbia,1976,5,333396,64.4,305434,59.0,27962,8.4
Florida,1976,5,3591097,55.4,3256638,50.2,334459,9.3
Georgia,1976,5,2256660,63.6,2073036,58.4,183624,8.1
Hawaii,1976,5,408933,69.3,370291,62.8,38642,9.4
Idaho,1976,5,368506,62.8,347899,59.3,20607,5.6
Illinois,1976,5,5141790,63.0,4804374,58.8,337416,6.6
Indiana,1976,5,2431160,63.9,2284630,60.0,146530,6.0
Iowa,1976,5,1332994,64.1,1277930,61.5,55064,4.1
Kansas,1976,5,1070872,65.1,1026320,62.4,44552,4.2
Kentucky,1976,5,1490599,60.1,1408137,56.8,82462,5.5
Louisiana,1976,5,1523344,56.4,1424086,52.8,99258,6.5
Maine,1976,5,476012,61.7,435612,56.5,40400,8.5
Maryland,1976,5,1904080,64.1,1781196,60.0,122884,6.5
Massachusetts,1976,5,2718111,64.6,2444886,58.1,273225,10.1
Michigan,1976,5,3975642,61.7,3594264,55.8,381378,9.6
Minnesota,1976,5,1837908,65.5,1733886,61.8,104022,5.7
Mississippi,1976,5,966754,58.5,906282,54.8,60472,6.3
Missouri,1976,5,2108332,60.6,1981037,56.9,127295,6.0
Montana,1976,5,332602,62.2,313383,58.6,19219,5.8
Nebraska,1976,5,712943,64.8,690704,62.8,22239,3.1
Nevada,1976,5,324425,70.5,295681,64.3,28744,8.9
New Hampshire,1976,5,395493,66.0,369866,61.7,25627,6.5
New Jersey,1976,5,3309870,61.6,2968185,55.2,341685,10.3
New Mexico,1976,5,484676,60.3,443026,55.1,41650,8.6
New York,1976,5,7675792,58.1,6896958,52.2,778834,10.1
New York city,1976,5,3071973,54.0,2730681,48.0,341292,11.1
North Carolina,1976,5,2601868,66.3,2442874,62.2,158994,6.1
North Dakota,1976,5,278481,62.6,268524,60.3,9957,3.6
Ohio,1976,5,4754562,61.6,4382938,56.8,371624,7.8
Oklahoma,1976,5,1187895,59.0,1120284,55.6,67611,5.7
Oregon,1976,5,1081658,62.5,983065,56.8,98593,9.1
Pennsylvania,1976,5,5130966,58.3,4715133,53.6,415833,8.1
Rhode Island,1976,5,441388,63.6,407576,58.7,33812,7.7
South Carolina,1976,5,1295580,64.7,1204846,60.2,90734,7.0
South Dakota,1976,5,308798,64.3,299264,62.3,9534,3.1
Tennessee,1976,5,1841933,59.4,1732735,55.8,109198,5.9
Texas,1976,5,5676963,63.6,5339976,59.9,336987,5.9
Utah,1976,5,521698,62.6,492102,59.1,29596,5.7
Vermont,1976,5,217411,63.6,198845,58.1,18566,8.5
Virginia,1976,5,2333352,65.4,2195739,61.6,137613,5.9
Washington,1976,5,1593274,60.7,1457626,55.6,135648,8.5
West Virginia,1976,5,711509,52.2,658512,48.3,52997,7.4
Wisconsin,1976,5,2134954,65.5,2018302,61.9,116652,5.5
Wyoming,1976,5,178560,65.2,171583,62.6,6977,3.9
Alabama,1976,6,1496160,56.9,1399430,53.2,96730,6.5
Alaska,1976,6,163908,68.3,152324,63.5,11584,7.1
Arizona,1976,6,976461,59.3,881602,53.5,94859,9.7
Arkansas,1976,6,891434,57.7,829833,53.7,61601,6.9
California,1976,6,9861887,62.4,8977255,56.8,884632,9.0
Los Angeles County,1976,6,3394977,63.8,3100801,58.3,294176,8.7
Colorado,1976,6,1231223,66.4,1161704,62.6,69519,5.6
Connecticut,1976,6,1457006,64.5,1322011,58.5,134995,9.3
Delaware,1976,6,262640,62.5,240155,57.2,22485,8.6
District of Columbia,1976,6,332440,64.3,304715,58.9,27725,8.3
Florida,1976,6,3597210,55.4,3267451,50.3,329759,9.2
Georgia,1976,6,2265027,63.7,2083290,58.6,181737,8.0
Hawaii,1976,6,409662,69.3,371836,62.9,37826,9.2
Idaho,1976,6,370833,63.1,350070,59.5,20763,5.6
Illinois,1976,6,5151113,63.0,4812220,58.9,338893,6.6
Indiana,1976,6,2438240,64.0,2296745,60.3,141495,5.8
Iowa,1976,6,1335252,64.2,1281456,61.6,53796,4.0
Kansas,1976,6,1075261,65.3,1030858,62.6,44403,4.1
Kentucky,1976,6,1493134,60.1,1411443,56.8,81691,5.5
Louisiana,1976,6,1528892,56.5,1427096,52.8,101796,6.7
Maine,1976,6,476725,61.8,436500,56.5,40225,8.4
Maryland,1976,6,1909635,64.2,1785402,60.0,124233,6.5
Massachusetts,1976,6,2723768,64.7,2456971,58.4,266797,9.8
Michigan,1976,6,3987683,61.8,3613034,56.0,374649,9.4
Minnesota,1976,6,1845509,65.7,1742473,62.0,103036,5.6
Mississippi,1976,6,968797,58.5,908939,54.9,59858,6.2
Missouri,1976,6,2118778,60.8,1989320,57.1,129458,6.1
Montana,1976,6,333040,62.1,313675,58.5,19365,5.8
Nebraska,1976,6,715081,64.9,693197,63.0,21884,3.1
Nevada,1976,6,326591,70.7,298204,64.5,28387,8.7
New Hampshire,1976,6,398473,66.3,372765,62.0,25708,6.5
New Jersey,1976,6,3318612,61.7,2975187,55.3,343425,10.3
New Mexico,1976,6,487022,60.3,445278,55.2,41744,8.6
New York,1976,6,7688483,58.1,6907840,52.2,780643,10.2
New York city,1976,6,3077212,54.1,2735049,48.1,342163,11.1
North Carolina,1976,6,2608026,66.3,2452391,62.4,155635,6.0
North Dakota,1976,6,279841,62.7,269504,60.4,10337,3.7
Ohio,1976,6,4753211,61.5,4389731,56.8,363480,7.6
Oklahoma,1976,6,1189831,58.9,1122849,55.6,66982,5.6
Oregon,1976,6,1087580,62.6,989181,57.0,98399,9.0
Pennsylvania,1976,6,5135162,58.3,4722519,53.6,412643,8.0
Rhode Island,1976,6,441442,63.5,407522,58.6,33920,7.7
South Carolina,1976,6,1296350,64.7,1207151,60.2,89199,6.9
South Dakota,1976,6,309715,64.5,300120,62.5,9595,3.1
Tennessee,1976,6,1850737,59.5,1740968,56.0,109769,5.9
Texas,1976,6,5708574,63.8,5369891,60.0,338683,5.9
Utah,1976,6,524656,62.8,495414,59.3,29242,5.6
Vermont,1976,6,218340,63.8,199914,58.5,18426,8.4
Virginia,1976,6,2337293,65.4,2200717,61.6,136576,5.8
Washington,1976,6,1604380,61.0,1466236,55.8,138144,8.6
West Virginia,1976,6,710644,52.0,658327,48.2,52317,7.4
Wisconsin,1976,6,2141170,65.6,2026605,62.1,114565,5.4
Wyoming,1976,6,180143,65.5,173267,63.0,6876,3.8
Alabama,1976,7,1500730,56.9,1402364,53.2,98366,6.6
Alaska,1976,7,165368,68.3,153282,63.3,12086,7.3
Arizona,1976,7,981975,59.4,887162,53.7,94813,9.7
Arkansas,1976,7,893053,57.8,832622,53.9,60431,6.8
California,1976,7,9903604,62.5,9010377,56.9,893227,9.0
Los Angeles County,1976,7,3399094,63.8,3103079,58.2,296015,8.7
Colorado,1976,7,1234684,66.4,1163541,62.6,71143,5.8
Connecticut,1976,7,1460635,64.6,1327624,58.7,133011,9.1
Delaware,1976,7,263315,62.5,240211,57.1,23104,8.8
District of Columbia,1976,7,331507,64.1,303684,58.7,27823,8.4
Florida,1976,7,3602782,55.3,3275577,50.3,327205,9.1
Georgia,1976,7,2273239,63.9,2092242,58.8,180997,8.0
Hawaii,1976,7,410102,69.2,373058,62.9,37044,9.0
Idaho,1976,7,373107,63.2,352181,59.7,20926,5.6
Illinois,1976,7,5156594,63.0,4816599,58.9,339995,6.6
Indiana,1976,7,2445243,64.1,2306108,60.5,139135,5.7
Iowa,1976,7,1337276,64.2,1284353,61.6,52923,4.0
Kansas,1976,7,1079247,65.4,1035054,62.8,44193,4.1
Kentucky,1976,7,1494780,60.0,1413722,56.8,81058,5.4
Louisiana,1976,7,1534267,56.6,1430273,52.7,103994,6.8
Maine,1976,7,477095,61.6,436790,56.4,40305,8.4
Maryland,1976,7,1915202,64.3,1789408,60.1,125794,6.6
Massachusetts,1976,7,2730674,64.8,2469470,58.6,261204,9.6
Michigan,1976,7,3996327,61.9,3627749,56.2,368578,9.2
Minnesota,1976,7,1853413,65.8,1749799,62.2,103614,5.6
Mississippi,1976,7,970764,58.5,910473,54.9,60291,6.2
Missouri,1976,7,2128622,61.0,1996806,57.2,131816,6.2
Montana,1976,7,333822,62.2,314232,58.5,19590,5.9
Nebraska,1976,7,717323,65.1,695483,63.1,21840,3.0
Nevada,1976,7,328735,70.8,300492,64.8,28243,8.6
New Hampshire,1976,7,401028,66.6,375302,62.3,25726,6.4
New Jersey,1976,7,3325758,61.8,2980510,55.3,345248,10.4
New Mexico,1976,7,489256,60.4,447267,55.2,41989,8.6
New York,1976,7,7696362,58.2,6912373,52.2,783989,10.2
New York city,1976,7,3081073,54.2,2737981,48.2,343092,11.1
North Carolina,1976,7,2612384,66.3,2458363,62.4,154021,5.9
North Dakota,1976,7,281143,62.9,270419,60.5,10724,3.8
Ohio,1976,7,4750580,61.4,4392879,56.8,357701,7.5
Oklahoma,1976,7,1191650,58.9,1125315,55.6,66335,5.6
Oregon,1976,7,1094956,62.9,995571,57.2,99385,9.1
Pennsylvania,1976,7,5138310,58.3,4729977,53.7,408333,7.9
Rhode Island,1976,7,441304,63.4,406937,58.5,34367,7.8
South Carolina,1976,7,1297400,64.6,1208997,60.2,88403,6.8
South Dakota,1976,7,310718,64.6,300829,62.5,9889,3.2
Tennessee,1976,7,1860137,59.7,1748920,56.1,111217,6.0
Texas,1976,7,5732915,63.9,5395557,60.1,337358,5.9
Utah,1976,7,527210,63.0,498273,59.5,28937,5.5
Vermont,1976,7,218925,63.8,200721,58.5,18204,8.3
Virginia,1976,7,2341316,65.3,2205025,61.5,136291,5.8
Washington,1976,7,1617348,61.4,1475933,56.0,141415,8.7
West Virginia,1976,7,708875,51.8,657571,48.0,51304,7.2
Wisconsin,1976,7,2147574,65.7,2033622,62.2,113952,5.3
Wyoming,1976,7,181523,65.8,174732,63.3,6791,3.7
Alabama,1976,8,1505121,57.0,1404636,53.2,100485,6.7
Alaska,1976,8,166416,68.5,153715,63.3,12701,7.6
Arizona,1976,8,987541,59.6,892485,53.8,95056,9.6
Arkansas,1976,8,894755,57.8,835190,54.0,59565,6.7
California,1976,8,9943383,62.6,9037097,56.9,906286,9.1
Los Angeles County,1976,8,3402483,63.8,3103316,58.2,299167,8.8
Colorado,1976,8,1239866,66.5,1166313,62.5,73553,5.9
Connecticut,1976,8,1461961,64.6,1330847,58.8,131114,9.0
Delaware,1976,8,263947,62.5,240436,57.0,23511,8.9
District of Columbia,1976,8,330756,64.0,302555,58.5,28201,8.5
Florida,1976,8,3607644,55.2,3280710,50.2,326934,9.1
Georgia,1976,8,2280846,63.9,2099313,58.9,181533,8.0
Hawaii,1976,8,410357,69.1,373926,63.0,36431,8.9
Idaho,1976,8,375109,63.4,354023,59.8,21086,5.6
Illinois,1976,8,5158806,63.0,4818730,58.8,340076,6.6
Indiana,1976,8,2450242,64.2,2311280,60.5,138962,5.7
Iowa,1976,8,1339651,64.2,1287034,61.7,52617,3.9
Kansas,1976,8,1082510,65.6,1038432,62.9,44078,4.1
Kentucky,1976,8,1495671,60.0,1415395,56.8,80276,5.4
Louisiana,1976,8,1538687,56.6,1433303,52.7,105384,6.8
Maine,1976,8,477210,61.6,436562,56.3,40648,8.5
Maryland,1976,8,1919926,64.3,1792801,60.1,127125,6.6
Massachusetts,1976,8,2736966,64.9,2480126,58.8,256840,9.4
Michigan,1976,8,4001428,61.9,3637189,56.3,364239,9.1
Minnesota,1976,8,1860447,66.0,1755105,62.3,105342,5.7
Mississippi,1976,8,972756,58.5,911266,54.8,61490,6.3
Missouri,1976,8,2137004,61.2,2002746,57.3,134258,6.3
Montana,1976,8,334898,62.2,315090,58.6,19808,5.9
Nebraska,1976,8,719393,65.2,697327,63.2,22066,3.1
Nevada,1976,8,330696,71.0,302339,64.9,28357,8.6
New Hampshire,1976,8,402883,66.7,377207,62.5,25676,6.4
New Jersey,1976,8,3331284,61.8,2984381,55.4,346903,10.4
New Mexico,1976,8,491177,60.4,448792,55.2,42385,8.6
New York,1976,8,7697049,58.2,6910069,52.2,786980,10.2
New York city,1976,8,3082731,54.3,2739158,48.3,343573,11.1
North Carolina,1976,8,2615329,66.2,2460401,62.3,154928,5.9
North Dakota,1976,8,282200,63.0,271148,60.5,11052,3.9
Ohio,1976,8,4748526,61.4,4393870,56.8,354656,7.5
Oklahoma,1976,8,1193335,58.9,1127599,55.6,65736,5.5
Oregon,1976,8,1102501,63.2,1001472,57.4,101029,9.2
Pennsylvania,1976,8,5141829,58.3,4736852,53.7,404977,7.9
Rhode Island,1976,8,441117,63.3,406023,58.3,35094,8.0
South Carolina,1976,8,1298899,64.5,1210629,60.1,88270,6.8
South Dakota,1976,8,311636,64.7,301341,62.5,10295,3.3
Tennessee,1976,8,1869160,59.9,1755915,56.2,113245,6.1
Texas,1976,8,5748413,63.9,5414486,60.2,333927,5.8
Utah,1976,8,529123,63.0,500375,59.6,28748,5.4
Vermont,1976,8,219150,63.7,201245,58.5,17905,8.2
Virginia,1976,8,2345276,65.3,2208979,61.5,136297,5.8
Washington,1976,8,1630362,61.7,1485599,56.2,144763,8.9
West Virginia,1976,8,706460,51.5,656636,47.9,49824,7.1
Wisconsin,1976,8,2153381,65.8,2038648,62.3,114733,5.3
Wyoming,1976,8,182561,65.9,175824,63.5,6737,3.7
Alabama,1976,9,1509649,57.1,1407083,53.2,102566,6.8
